name,price,socket,form_factor,max_memory,memory_slots,color,memory_type,purpose,performance_score
Gigabyte GA-G41MT-S2P,204.82,LGA775,micro atx,8,2,Blue / White,DDR3,General,2.65
MSI H61M-E23 (B3),347.4,LGA1155,micro atx,16,2,Black / Blue,DDR3,General,4.13
Gigabyte GA-P67A-D3-B3,328.84,LGA1155,atx,32,4,Blue / White,DDR3,General,6.71
Foxconn H61MXV,306.99,LGA1155,micro atx,8,2,Blue / White,DDR3,General,3.81
ASRock 970 Pro3 R2.0,300.93,AM3+,atx,64,4,Brown / Black,DDR3,General,8.39
Asus B75M-A,347.4,LGA1155,micro atx,16,2,Black / Blue,DDR3,General,4.13
MSI Z87 XPOWER,322.34,LGA1150,xl atx,32,4,Black / Yellow,DDR3,General,7.1
ASRock B85M-HDS,186.43,LGA1150,micro atx,16,2,Black / Silver,DDR3,General,4.52
ASRock 970 Extreme3 R2.0,300.93,AM3+,atx,64,4,Brown / Black,DDR3,General,8.39
Asus M5A97 EVO R2.0,293.52,AM3+,atx,32,4,Black / Blue,DDR3,General,7.1
ECS H81H3-I/HDMI (V1.0),187.96,LGA1150,mini itx,16,2,Black / Gray,DDR3,General,4.52
MSI B85I,308.72,LGA1150,mini itx,16,2,Black / Silver,DDR3,General,4.52
ASRock Fatal1ty H97 Killer,311.94,LGA1150,atx,32,4,Black / Red,DDR3,General,7.1
Asus Z97-DELUXE,409.94,LGA1150,atx,32,4,Black / Gold,DDR3,General,7.1
MSI X99S GAMING 9 AC,746.68,LGA2011-3,eatx,128,8,Black / Red,DDR3,Design,14.84
Asus X99-S,664.44,LGA2011-3,atx,64,8,Black / White,DDR3,General,12.26
Gigabyte GA-H97-HD3,409.94,LGA1150,atx,32,4,Black / Gold,DDR3,General,7.1
Asus A88XM-Plus,158.7,FM2+,micro atx,64,4,Black / Gold,DDR3,Office,8.39
ASRock X99 WS-E,746.48,LGA2011-3,eatx,128,8,Black / Blue,DDR3,Design,14.84
Gigabyte GA-EG43M-S2H,223.0,LGA775,micro atx,8,4,Multicolor,DDR3,General,4.58
ASRock EP2C612D16SM-2T,724.76,2 X LGA2011-3 NARROW,ssi eeb,1024,16,Green / Blue,DDR4,General,58.71
ASRock Z170M Pro4S,334.25,LGA1151,micro atx,64,4,Black / Orange,DDR4,Office,8.77
ASRock H170M-ITX/ac,1680.36,LGA1151,mini itx,32,2,Black / Red,DDR4,General,5.55
Gigabyte GA-H110M-S2PV DDR3 (rev. 1.0),145.83,LGA1151,micro atx,32,2,Black,DDR4,General,5.55
ASRock H110M-ITX,176.55,LGA1151,mini itx,32,2,Black / Orange,DDR4,General,5.55
ASRock Z170A-X1/3.1,399.31,LGA1151,atx,64,4,Black / Orange,DDR4,General,8.77
Gigabyte GA-B150N Phoenix-WIFI,176.55,LGA1151,mini itx,32,2,Black / Orange,DDR4,General,5.55
MSI B150M Gaming Pro,1198.52,LGA1151,micro atx,32,2,Black / Red,DDR4,General,5.55
Supermicro X11SAE-M,351.1,LGA1151,micro atx,64,4,Green,DDR4,Office,8.77
MSI H170M PRO-VDH,778.57,LGA1151,micro atx,64,4,Black / White,DDR4,Office,8.77
MSI Z270 XPOWER GAMING TITANIUM,392.92,LGA1151,atx,64,4,Silver / Black,DDR4,General,8.77
Asus STRIX B250G Gaming,1289.65,LGA1151,micro atx,64,4,Black / Red,DDR4,Office,8.77
Asus ROG STRIX H270I GAMING,203.32,LGA1151,mini itx,32,2,Black / Silver,DDR4,General,5.55
MSI H270-A PRO,508.68,LGA1151,atx,64,4,Black / Silver,DDR4,General,8.77
EVGA Z390 DARK,666.57,LGA1151,eatx,64,2,Black / Gold,DDR4,General,6.84
Gigabyte H410M DS2V,132.87,LGA1200,micro atx,64,2,Black / Silver,DDR4,Office,8.0
ASRock H470 Phantom Gaming 4,230.86,LGA1200,atx,128,4,Black / Gray,DDR4,Gaming,12.52
Gigabyte B660M GAMING X,145.78,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Gigabyte B660M AORUS ELITE DDR4,145.78,LGA1700,micro atx,128,4,Black,DDR5,Gaming,12.9
Asus PRIME A620M-K-CSM,413.44,AM5,micro atx,96,2,Black / Silver,DDR5,Office,9.68
Asus PRIME H610M-D D4-CSM,127.33,LGA1700,micro atx,64,2,Silver / Black,DDR4,Office,8.39
ASRock Z270 Killer SLI,1719.6,LGA1151,atx,64,4,Black / White,DDR4,General,8.77
Gigabyte H510M K V2,144.51,LGA1200,micro atx,64,2,Black / Gray,DDR4,Office,8.0
Supermicro A1SRI-2758F-O,436.99,INTEGRATED ATOM C2358,mini itx,16,2,Black / Green,DDR3,General,4.52
Gigabyte Z490 AORUS XTREME,707.86,LGA1200,eatx,128,4,Black / Silver,DDR4,Gaming,12.52
