name,price,price_per_gb,color,first_word_latency,cas_latency,speed_mhz,ddr_type,total_capacity,purpose,performance_score
G.Skill F3-1600C9D-8GSL 8 GB,22.43,2.804,Green,11.25,9.0,1600,DDR3,8,General,7.38712607082906
Corsair CMSO8GX3M1C1600C11 8 GB,39.99,4.999,Green,11.25,9.0,1600,DDR3,8,General,7.38712607082906
Corsair CMSO8GX3M2C1600C11 8 GB,47.22,5.902,Green,11.25,9.0,1600,DDR3,8,General,7.38712607082906
Corsair Mac Memory 8 GB,39.99,4.999,Black / Green,13.503,9.0,1333,DDR3,8,General,6.664453349101212
Crucial CT16G3R186DM 16 GB,54.99,3.437,Black / Green,13.934,13.0,1866,DDR3,16,General,10.758584978036685
G.Skill FA-8500CL7D-8GBSQ 8 GB,24.22,3.027,Black / Green,13.133,7.0,1066,DDR3,8,General,6.046853696297151
Crucial CT2KIT51264BF160BJ 8 GB,53.99,6.749,Black / Green,13.75,11.0,1600,DDR3,8,General,7.294037745255317
Crucial CT16G3ERSLD4160B 16 GB,28.69,1.793,Black / Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
Samsung M393A1G43DB0-CPB0 8 GB,22.95,2.869,Black / Green,14.065,15.0,2133,DDR4,8,General,8.571653688670645
Crucial CT204872BB160B 16 GB,54.99,3.437,Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
Kingston KVR18L13Q4/32 32 GB,89.98,2.812,Gray,13.934,13.0,1866,DDR3,32,General,16.41822588357923
Kingston KVR16R11D4/16HA 16 GB,48.99,3.062,Green,13.75,11.0,1600,DDR3,16,General,10.12385819802659
