name,price,style,switches,backlit,tenkeyless,connection_type,color,purpose,performance_score
Razer Pro Type Ultra - UK,129.76,Standard,Razer Yellow,White,False,"Wired, Wireless, Bluetooth Wireless",White / Gray,Mid-Range Gaming,91.0
Logitech MK100,50.51,Slim,None,None,False,Wired,Black,Mid-Range Gaming,38.0
Logitech G19s,419.99,Gaming,None,None,False,Wired,Black,Premium Gaming,38.0
Cougar DEATHFIRE EX,54.99,Gaming,None,Multicolor,False,Wired,Black,Mid-Range Gaming,59.0
DROP MDX-31827-12,220.0,Gaming,Cherry MX Blue,RGB,True,"Wired, Wired",Black,Premium Gaming,88.0
Razer Blackwidow Tournament Edition,99.99,Gaming,Razer Green,None,True,Wired,Black,Compact,58.0
Cherry MX-Board 3.0 Keyboard,147.29,Standard,Cherry MX Brown,None,False,Wired,Black,Mid-Range Gaming,58.0
Cooler Master Devastator II,108.27,Gaming,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
Corsair K70 RAPIDFIRE,179.59,Gaming,Cherry MX Speed Silver,Red,False,Wired,Black,Premium Gaming,79.0
HP HyperX Alloy FPS,140.26,Standard,Cherry MX Red,Red,False,Wired,Black,Mid-Range Gaming,79.0
Asus ROG Claymore,118.8,Gaming,Cherry MX Red,RGB,False,Wired,Black,Mid-Range Gaming,88.0
Targus BUS0399,119.22,Slim,None,None,True,Wireless,Black,Compact,50.0
Cooler Master CK550,82.64,Gaming,Gateron Brown,RGB,False,Wired,Black,Mid-Range Gaming,80.0
iKBC CD87 v2,125.89,Standard,Cherry MX Clear,None,True,Wired,Black,Compact,58.0
Das Keyboard Prime 13,109.65,Standard,Cherry MX Brown,White,False,Wired,Black,Mid-Range Gaming,79.0
Adesso AKB-138EB,55.22,Gaming,None,RGB,False,Wired,Black,Mid-Range Gaming,68.0
Adesso EasyTouch 132,18.59,Standard,None,None,False,Wired,Black / Yellow,Office/Budget,38.0
Lenovo Legion K200,172.56,Gaming,None,Multicolor,False,Wired,Black / Silver,Premium Gaming,59.0
Lenovo Preferred Pro,28.99,Standard,None,None,False,Wired,Black,Office/Budget,38.0
Logitech Wireless Combo MK260,67.93,Standard,None,None,False,Wireless,Black,Mid-Range Gaming,50.0
TekNmotion Nibiru CK1,23.53,Gaming,None,Blue,False,Wired,Black,Mid-Range Gaming,59.0
